Name,State,City,Zip,Type,Image,Ranking,ACT,AidPercentage,AcceptanceRate,Fees,GPAAvg,Enrollment,SATAvg,SATRange,ACTRange,YearFounded,AcademicCalendar,Setting,SchoolWebsite
Old Dominion University,VA,Norfolk,23529,public,https://www.usnews.com/dims4/USNEWS/afbcce9/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F09%2Faf147efe89bfbcc011769f8883070f%2Fcollege-photo_31648.jpg,263,18,,87,30652,3.3,19372,990,990-1200,18-24,1930,Semester,Urban,http://www.odu.edu
Shenandoah University,VA,Winchester,22601,private,https://www.usnews.com/dims4/USNEWS/0eeff18/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F41%2Fa659110b98ab16498bcc73583b4be4%2Fcollege-photo_6073.jpg,263,21,,70,33242,3.5,2034,980,980-1190,21-26,1875,Semester,City,http://www.su.edu
University of Alabama--Huntsville,AL,Huntsville,35899,public,https://www.usnews.com/dims4/USNEWS/b98caf5/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5f%2F3e2efe29c31df901c9d4e88e3e31e1%2Fcollege-photo_30379.jpg,263,25,,81,23110,3.9,7671,1010,1010-1380,25-31,1969,Semester,City,https://www.uah.edu/
University of Alaska--Fairbanks,AK,Fairbanks,99775,public,https://www.usnews.com/dims4/USNEWS/187d1b4/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F96%2F6ee7fde182addfa4ee33ed33132381%2Fcollege-photo_9352.jpg,263,17,,77,24970,,,1030,1030-1270,17-25,1917,Semester,Urban,http://www.uaf.edu
University of Missouri--Kansas City,MO,Kansas City,64110,public,https://www.usnews.com/dims4/USNEWS/ad8c18f/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F97%2F785117f3a2b4aa263f529218af68bc%2Fcollege-photo_22581.jpg,263,21,,56,26134,3.4,11337,1030,1030-1340,21-28,1933,Semester,Urban,http://www.umkc.edu
University of North Dakota,ND,Grand Forks,58202,public,https://www.usnews.com/dims4/USNEWS/18995fc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F06%2F136ffd81847d942d00307046e98857%2F180516-coulee-01.jpg,263,21,,82,13842,3.4,10519,980,980-1230,21-27,1883,Semester,City,http://und.edu
University of South Dakota,SD,Vermillion,57069,public,https://www.usnews.com/dims4/USNEWS/855cd99/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F40%2F283ba0f6130b61626510cf969ad3d7%2Fcollege-photo_5537.jpg,263,20,,86,12807,,7590,1030,1030-1260,20-25,1862,Semester,Rural,http://www.usd.edu
Mary Baldwin University,VA,Staunton,24401,private,https://www.usnews.com/dims4/USNEWS/3fe41c0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6a%2Fae76ec29398a0722ad695842ec1f2b%2Fcollege-photo_36972.jpg,272,18,,100,31085,3.3,1327,950,950-1130,18-24,1842,Unknown,City,//www.marybaldwin.edu
Louisiana Tech University,LA,Ruston,71272,public,https://www.usnews.com/dims4/USNEWS/f52cee0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F09%2Ffce573bc2f51ec669b6c7dac7a74ef%2Fcollege-photo_34731.jpg,272,22,,63,19098,3.5,11185,870,870-970,22-28,1894,Quarter,Rural,http://www.latech.edu
Campbell University,NC,Buies Creek,27506,private,https://www.usnews.com/dims4/USNEWS/d73f90b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6f%2F766070dfe992a4db92249e3ea8a722%2Fcollege-photo_7952.jpg,272,19,,76,33880,3.5,4242,1030,1030-1210,19-25,1887,Semester,Rural,http://www.campbell.edu
Keiser University,FL,Ft. Lauderdale,33309,private,https://www.usnews.com/dims4/USNEWS/c197b24/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F09%2F9956410dc0c755009a67e3c14bbaac%2Fcollege-photo_32057.jpg,272,,,100,33120,,17892,,N/A,N/A,1977,Semester,Urban,https://www.keiseruniversity.edu/admissions/
South Dakota State University,SD,Brookings,57007,public,https://www.usnews.com/dims4/USNEWS/619817b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa1%2Fa62caf4617c6d3c133d4e08530dc98%2Fcollege-photo_20305.jpg,272,20,,92,12590,,10547,1010,1010-1260,20-26,1881,Semester,Rural,http://www.sdstate.edu
Tennessee Technological University,TN,Cookeville,38505,public,https://www.usnews.com/dims4/USNEWS/591bf24/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F572381fc3b005a0cc3313798904bbf%2FStock_Campus_Drone_23AUG19_00008.jpg,272,21,,76,17373,3.6,9006,1050,1050-1260,21-27,1915,Semester,Rural,http://www.tntech.edu
University of Memphis,TN,Memphis,38152,public,https://www.usnews.com/dims4/USNEWS/115bbd5/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb2%2F992db3d9a5e631ebb8793c423c53f1%2Fcollege-photo_14484.jpg,272,19,,84,16037,3.4,17233,970,970-1210,19-26,1912,Semester,Urban,http://www.memphis.edu
University of North Carolina--Greensboro,NC,Greensboro,27402,public,https://www.usnews.com/dims4/USNEWS/618d086/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F12%2F0eb548d7adc5526dfe911b42ba1d14%2Fcollege-photo_17858.jpg,272,20,,84,22564,3.7,16641,990,990-1160,20-25,1891,Semester,Urban,http://www.uncg.edu/
University of the Incarnate Word,TX,San Antonio,78209,private,https://www.usnews.com/dims4/USNEWS/07ac5cd/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2Fc68df62c55073a52a502a8940b626d%2Fcollege-photo_29250.jpg,272,17,,88,32576,3.5,5558,950,950-1140,17-22,1881,Semester,Urban,http://www.uiw.edu
Concordia University Wisconsin,WI,Mequon,53097,private,,281,20,,65,30352,3.4,3493,,N/A,20-26,1881,Unknown,Suburban,http://www.cuw.edu
Dallas Baptist University,TX,Dallas,75211,private,https://www.usnews.com/dims4/USNEWS/10b4753/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F37%2Fb1098620bcc429bd0b5871c61b56ae%2Fcollege-photo_36119.jpg,281,20,,88,30320,3.5,3014,1090,1090-1270,20-24,1898,Unknown,Suburban,//www.dbu.edu
Florida Atlantic University,FL,Boca Raton,33431,public,https://www.usnews.com/dims4/USNEWS/514fcb9/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd8%2F9a17240c5771252bec90f4b7293506%2Fcollege-photo_1284.jpg,281,21,,59,21595,3.9,24569,1080,1080-1240,21-26,1961,Semester,City,http://www.fau.edu
Gardner-Webb University,NC,Boiling Springs,28017,private,https://www.usnews.com/dims4/USNEWS/64e1596/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa2%2F19a8c1465229d3a79f3e1ce4a62d03%2Fcollege-photo_22368.jpg,281,18,,48,31460,3.8,2028,970,970-1180,18-25,1905,Semester,Rural,http://www.gardner-webb.edu
North Carolina A&T State University,NC,Greensboro,27411,public,https://www.usnews.com/dims4/USNEWS/0a2cf70/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa6%2F97fb4ce49473d9d4b7e79de234a7c4%2Fcollege-photo_12397.jpg,281,17,,61,20167,3.1,10629,950,950-1110,17-21,1891,Semester,Urban,http://www.ncat.edu
North Dakota State University,ND,Fargo,58108,public,https://www.usnews.com/dims4/USNEWS/1630df0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F52%2F64987e83b20baca0ce8437020a6bad%2Fcollege-photo_28974.jpg,281,21,,93,13628,3.4,11425,1083,1083-1275,21-26,1890,Semester,City,http://www.ndsu.edu
Regent University,VA,Virginia Beach,23464,private,https://www.usnews.com/dims4/USNEWS/3ed4427/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd6%2Fcb38b4c9988902ffc7f21b056d2ded%2Fcollege-photo_25443.jpg,281,19,,84,19280,3.5,4646,950,950-1170,19-26,1978,Semester,Suburban,https://www.regent.edu/
Sam Houston State University,TX,Huntsville,77340,public,https://www.usnews.com/dims4/USNEWS/098d1c1/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F76%2F3610c53996a80762a66acdf96d0c14%2Fcollege-photo_31448.jpg,281,19,,79,22933,,18473,1000,1000-1140,19-23,1879,Semester,Rural,http://www.shsu.edu
University of Missouri--St. Louis,MO,St. Louis,63121,public,https://www.usnews.com/dims4/USNEWS/0883b34/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe5%2Fc39f9cc82cf2fc38215d70cd70a989%2Fcollege-photo_6729.jpg,281,21,,73,29295,3.5,13490,1020,1020-1230,21-27,1963,Semester,Urban,http://www.umsl.edu
University of North Florida,FL,Jacksonville,32224,public,https://www.usnews.com/dims4/USNEWS/ae0b4d5/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F26%2Ff159e05387fe6448dca0a15167f149%2Fcollege-photo_22035.jpg,281,21,,61,20112,3.9,14494,1120,1120-1280,21-27,1965,Semester,Urban,http://www.unf.edu
University of North Texas,TX,Denton,76203,public,https://www.usnews.com/dims4/USNEWS/17bff64/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7e%2Fc5614ec3307139b6d81f1e82f9e0e4%2FNorth_Hurley_Administration_Building_Aerial-1001.jpg,281,20,,71,23911,,31347,1060,1060-1260,20-26,1890,Semester,City,http://www.unt.edu
William Carey University,MS,Hattiesburg,39401,private,https://www.usnews.com/dims4/USNEWS/1a3e2c3/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0a%2F5e5cb5061bcd2c1a662a570e24faff%2Fcollege-photo_32199.jpg,281,21,,68,12750,3.6,3191,930,930-1150,21-29,1892,Trimester,City,http://www.wmcarey.edu
